lat,lon
47.6186397,-122.0992909
47.735782,-122.335112
47.586861,-121.968205
47.506811,-122.471836
47.7698888,-122.0968841
47.661117,-122.269172
47.682097,-122.392228
47.436486,-122.283023
47.49088,-122.3058245
47.722503,-122.17918
47.728098,-122.335166
47.508023,-122.385056
47.735082,-122.178056
47.645556,-122.189775
47.5398141,-122.1877619
47.559002,-122.127123
47.538659,-122.225975
47.759377,-122.304642
47.663862,-122.362
47.635813,-122.103251
47.6732767,-122.3309386
47.634299,-122.352349
47.5827678,-122.3868692
47.353727,-122.111751
47.585682,-122.172211
47.619548,-122.139201
47.634088,-122.118875
47.5589533,-122.2283836
47.4590501,-122.3549144
47.431868,-122.339022
47.58943,-122.242865
47.674095,-122.3541293
47.7515983,-122.2941554
47.56592,-122.372847
47.343071,-122.280223
47.576856,-122.215117
47.33944,-122.281027
47.743828,-122.074842
47.731579,-121.972081
47.685849,-122.304449
47.675971,-122.288106
47.536653,-121.8797618
47.773704,-122.237618
47.7511041,-122.1730464
47.620691,-122.2990672
47.5168527,-121.8840386
47.531732,-122.3907626
47.6958049,-122.3641834
47.495885,-122.149942
47.5435717,-122.3568787
47.702547,-122.34099
47.704862,-122.352964
47.685903,-122.399042
47.578589,-122.235677
47.576516,-122.147078
47.612009,-122.291798
47.684758,-122.397977
47.4017813,-122.3209902
47.3465555,-122.323042
47.474484,-122.119835
47.61467,-122.044835
47.426767,-122.342773
47.4914559,-122.1750429
47.366688,-122.182311
47.306664,-122.208936
47.315572,-122.187961
47.5266336,-122.3919591
47.5478224,-122.3050751
47.659247,-122.399135
47.725846,-122.225945
47.657423,-122.394935
47.55206,-121.997863
47.763503,-122.261806
47.679313,-122.393228
47.599617,-122.288044
47.355461,-122.054137
47.6922803,-122.3318667
47.527816,-122.160672
47.5520387,-121.9948583
47.7429,-122.036306
47.605085,-122.311167
47.39709,-122.181961
47.73694,-122.3380317
47.684693,-122.29086
47.7490573,-122.3541927
47.69289,-122.379261
47.258694,-122.209981
47.5867102,-122.311031
47.553175,-121.891989
47.357383,-122.185742
47.763654,-122.377015
47.300292,-122.270347
47.601668,-122.121824
47.280382,-122.316059
47.736043,-122.223657
47.34964,-121.943988
47.468695,-122.262949
47.735225,-121.964283
47.649671,-122.407052
47.728767,-122.12686
47.710481,-122.305937
47.591485,-122.057819
47.474403,-122.153772
47.5027659,-122.0970145
47.490713,-122.16703
47.630263,-121.990026
47.770309,-122.335957
47.4526418,-122.2838506
47.751482,-122.316145
47.31706,-122.196008
47.722961,-122.157893
47.6479795,-122.3836068
47.308724,-122.20622
47.6767309,-122.3659225
47.661649,-122.143823
47.3848213,-122.1001489
47.58867,-122.200916
47.699978,-122.299087
47.655563,-122.127288
47.5885462,-121.988976
47.554097,-122.106328
47.266621,-122.215816
47.722102,-122.167996
47.279025,-122.330979
47.533985,-122.223231
47.4971907,-122.2818429
47.4959742,-122.1508575
47.5406075,-121.9936268
47.6502212,-122.066077
47.277863,-122.347015
47.614313,-122.017428
47.461141,-122.168922
47.331412,-122.171874
47.635718,-122.123122
47.494015,-122.307014
47.646764,-122.059993
47.368179,-122.178898
47.4880564,-122.1615937
47.5655088,-122.3937789
47.428012,-122.198744
47.348688,-122.314894
47.6765229,-122.4040017
47.336377,-122.30704
47.712729,-122.325109
47.666931,-122.336047
47.7608532,-122.3527003
47.726525,-122.205991
47.4604972,-122.2766736
47.552445,-122.276981
47.657118,-122.132881
47.598703,-122.146356
47.735188,-122.232071
47.718962,-122.113729
47.405321,-122.189082
47.743312,-122.229183
47.465428,-122.174108
47.647803,-122.029196
47.480655,-121.774932
47.666022,-122.275664
47.6295571,-122.3000692
47.5871362,-122.1919793
47.661895,-122.354932
47.573834,-121.991875
47.340512,-122.2838
47.597359,-122.017041
47.534626,-122.065959
47.757574,-122.332861
47.7153349,-122.3272106
47.363392,-122.027103
47.623403,-122.235074
47.63661,-122.40084
47.761747,-121.93042
47.621001,-122.029782
47.285695,-122.299882
47.754815,-122.31706
47.743376,-122.174001
47.431752,-122.189215
47.721639,-122.055603
47.531969,-122.384898
47.5342152,-122.3579165
47.7634332,-122.3399073
47.579903,-122.305844
47.683675,-122.321025
47.691162,-122.295794
47.5751871,-122.1569975
47.363582,-122.093194
47.56768,-122.359822
47.712896,-122.202879
47.609483,-122.195198
47.504437,-122.369043
47.716948,-122.3531829
47.562028,-122.393077
47.773813,-122.2801272
47.718341,-122.353302
